"Close","Close(-1)","High(-1)","Low(-1)"
1.58,1.5618,1.5814,1.5451
1.5747,1.58,1.582,1.5716
1.5677,1.5747,1.5798,1.5642
1.5765,1.5677,1.5729,1.5648
1.568,1.5765,1.5769,1.5673
1.575,1.568,1.5825,1.5696
1.565,1.575,1.5718,1.5638
1.5615,1.565,1.565,1.5618
1.5523,1.5615,1.5629,1.5509
1.5539,1.5523,1.555,1.5478
1.5441,1.5539,1.5539,1.5361
1.5337,1.5441,1.5441,1.5252
1.5631,1.5337,1.5689,1.5333
1.5628,1.5631,1.5677,1.5503
1.5465,1.5628,1.5707,1.5462
1.5578,1.5465,1.5603,1.5427
1.5633,1.5578,1.5718,1.5458
1.563,1.5633,1.5659,1.5573
1.5768,1.563,1.5805,1.5456
1.593,1.5768,1.5952,1.5696
1.5969,1.593,1.6034,1.572
1.6282,1.5969,1.6548,1.6093
1.6219,1.6282,1.6277,1.5863
1.6233,1.6219,1.6372,1.6185
1.6114,1.6233,1.6253,1.6045
1.5887,1.6114,1.6112,1.59
1.5841,1.5887,1.5997,1.5722
1.5785,1.5841,1.5882,1.5743
1.607,1.5785,1.6089,1.5838
1.5953,1.607,1.5995,1.587
1.6025,1.5953,1.6052,1.5837
1.5973,1.6025,1.6057,1.5923
1.6073,1.5973,1.6027,1.5919
1.609,1.6073,1.6152,1.5969
1.6,1.609,1.6134,1.6
1.5943,1.6,1.6014,1.592
1.5865,1.5943,1.5952,1.582
1.5825,1.5865,1.5997,1.5794
1.599,1.5825,1.6089,1.5842
1.6298,1.599,1.6379,1.5953
1.6493,1.6298,1.6539,1.6365
1.66,1.6493,1.6629,1.638
1.6535,1.66,1.656,1.6498
1.6516,1.6535,1.6568,1.6476
1.6749,1.6516,1.6794,1.6545
1.7035,1.6749,1.6984,1.6697
1.7115,1.7035,1.7162,1.6987
1.724,1.7115,1.7336,1.705
1.7091,1.724,1.7128,1.6961
1.7105,1.7091,1.7242,1.7
1.7846,1.7105,1.7918,1.7143
1.7916,1.7846,1.7969,1.7654
1.8339,1.7916,1.841,1.7674
1.8768,1.8339,1.9463,1.7828
1.8558,1.8768,1.9175,1.8553
1.846,1.8558,1.8624,1.8102
1.802,1.846,1.8218,1.7919
1.8177,1.802,1.817,1.7967
1.8277,1.8177,1.8364,1.8194
1.847,1.8277,1.8622,1.8214
1.8877,1.847,1.891,1.859
