"High","MA(Open)","MA(High)","MA(Low)","MA(Volume)","Volume(-1)","Volume(-2)","Volume(-3)","Volume(-4)","Volume(-5)","Volume(-6)","Volume(-7)","Volume(-8)","Volume(-9)","Volume(-10)","Low(-1)","Low(-2)","Low(-3)","Low(-4)","Low(-5)","Low(-6)","Low(-7)","Low(-8)","Low(-9)","Low(-10)","MA(Open) (#1)","MA(High) (#1)","MA(Low) (#1)","MA(Close) (#1)","MA(Volume) (#1)","MA(Open) (#2)","MA(High) (#2)","MA(Low) (#2)","MA(Close) (#2)","MA(Volume) (#2)","MA15>MA50","MA50>MA200","return_diff_last_day","previsto","erro"
57641.0,59362.26666666668,60053.46666666675,58351.73333333334,1329826.6666666707,999399.9999999999,1277200.0,1527800.0,1118200.0,887599.9999999999,1183400.0,1776800.0,1422000.0,1203800.0,1230600.0,57492.0,59225.0,58069.0,56869.0,56839.0,56418.0,57334.0,59313.0,59231.0,60002.0,63473.204999999965,64255.24500000001,62637.980000000025,63439.39499999996,2680632.0,62524.53630216703,63214.840232658484,61580.54288463911,62254.31073494356,1286283.958983159,0.0,0.0,-2020.9999999999995,56602.41353644025,-1038.5864635597536
57813.0,58718.86666666667,59448.46666666675,57847.0,1304506.6666666707,1402400.0,1148000.0,999399.9999999999,1277200.0,1527800.0,1118200.0,887599.9999999999,1183400.0,1776800.0,1422000.0,55609.0,55367.0,57492.0,59225.0,58069.0,56869.0,56839.0,56418.0,57334.0,59313.0,63402.55999999997,64193.06500000001,62570.61500000002,63375.72999999996,2632850.0,62026.658847175335,62767.86212941678,61155.252389857174,61851.61171649347,1289894.8810144423,0.0,0.0,1071.0,57123.63599767584,-689.3640023241605
55492.0,57238.53333333334,57895.60000000009,56382.4,1274386.6666666707,1226200.0,1208600.0,1054200.0,1116400.0,1266800.0,1402400.0,1148000.0,999399.9999999999,1277200.0,1527800.0,54325.0,54569.0,56152.0,56960.0,56473.0,55609.0,55367.0,57492.0,59225.0,58069.0,63236.829999999965,64020.155,62406.485,63194.72999999995,2530707.0,60935.84585467314,61636.69817377708,60066.04604153089,60686.39596269959,1295376.667353486,0.0,0.0,70.0,54498.283870581145,-993.7161294188554
55545.0,56034.466666666674,56713.26666666675,55176.466666666674,1175760.000000004,1006600.0,847000.0,945800.0000000001,1065600.0,1922799.9999999998,1226200.0,1208600.0,1054200.0,1116400.0,1266800.0,52345.0,53050.0,53831.0,54573.0,54035.0,54325.0,54569.0,56152.0,56960.0,56473.0,63038.02999999997,63831.71000000001,62218.755000000005,63004.49499999995,2398465.0,59706.78136896831,60461.913035169506,58868.770351544226,59536.76219191901,1242703.39343559,0.0,0.0,1738.0,54554.48406455178,-990.5159354482166
49313.0,52614.46666666668,53394.13333333343,51279.13333333333,1372746.666666671,1589800.0,1393800.0,1556200.0,1904799.9999999998,1481000.0,1466000.0,1441600.0,1542200.0,1439800.0,1163200.0,48409.0,50789.0,48217.0,47606.0,48419.0,50646.0,50092.0,51157.0,52891.0,54207.0,62079.729999999974,62863.93500000001,61238.575000000004,62032.06999999996,1944854.0,55990.710538232335,56742.081617375254,54898.22269925698,55726.42091631936,1292379.5781582193,0.0,0.0,813.0,48744.30502484589,-568.6949751541106
49002.0,51630.80000000002,52467.800000000105,50030.600000000006,1553466.666666671,2322200.0,2046400.0,1589800.0,1393800.0,1556200.0,1904799.9999999998,1481000.0,1466000.0,1441600.0,1542200.0,45859.0,46261.0,48409.0,50789.0,48217.0,47606.0,48419.0,50646.0,50092.0,51157.0,61962.86999999998,62745.89000000003,61106.705000000016,61897.99499999996,1906808.0,55340.16839765315,56155.05804049135,54181.04755898348,55070.113271850365,1371973.9204759265,0.0,0.0,2514.000000000001,47355.70028442833,-1646.299715571673
50743.0,50066.133333333346,51207.2000000001,48214.13333333334,1753680.000000004,1989400.0,1401400.0,1203000.0,1648800.0,1450200.0,2103800.0,2332600.0,2322200.0,2046400.0,1589800.0,49902.0,49848.0,49598.0,49289.0,51530.0,48424.0,45295.0,45859.0,46261.0,48409.0,61516.51999999996,62305.095000000016,60607.60500000001,61420.33999999997,1884075.0,54215.069938635876,55113.81991344076,52868.95063755065,53896.32981523659,1444755.4926013125,0.0,0.0,-4755.0,48462.946979264714,-2280.053020735286
49805.0,49838.8,51023.333333333445,47850.00000000001,1740160.0000000042,1498000.0,1557000.0,1881799.9999999998,1989400.0,1401400.0,1203000.0,1648800.0,1450200.0,2103800.0,2332600.0,47641.0,46026.0,43766.0,49902.0,49848.0,49598.0,49289.0,51530.0,48424.0,45295.0,61265.35499999996,62058.51500000003,60332.220000000016,61174.264999999956,1866172.0,53569.45781947043,54504.96131198703,52120.1013905451,53280.31360813541,1460214.8898165247,0.0,0.0,-3654.0,48188.17745075331,-1616.8225492466881
39980.0,41002.60000000001,42313.20000000011,38472.466666666674,1990986.6666666707,1549600.0,1849400.0,2284000.0,2147000.0,2264400.0,1974000.0,2444600.0,2180800.0,2832800.0,1969600.0,36401.0,35834.0,33752.0,35411.0,40218.0,35609.0,33238.0,36832.0,37597.0,39583.0,59767.84499999996,60618.120000000024,58732.490000000005,59659.964999999946,1834373.0,47809.39475526718,48981.23654173779,46017.83864469934,47466.910936987646,1692834.189198943,0.0,0.0,-398.0,39186.66271950857,-793.3372804914325
35777.0,39320.53333333335,40658.600000000115,36804.46666666668,2019546.666666671,1647799.9999999998,1533600.0,1549600.0,1849400.0,2284000.0,2147000.0,2264400.0,1974000.0,2444600.0,2180800.0,35028.0,38083.0,36401.0,35834.0,33752.0,35411.0,40218.0,35609.0,33238.0,36832.0,59529.279999999955,60371.44500000002,58466.845000000016,59390.13999999994,1824739.0,46979.47282099058,48088.972294007086,45081.732635879715,46464.57099565834,1701724.293835703,0.0,0.0,-1252.0,34071.807659451006,-1705.1923405489943
