"Close","Close(-1)","Volume(-1)","return_diff_last_day"
51465.0,52138.0,1052800,-673.0
51544.0,51465.0,1321200,79.0
51025.0,51544.0,1371200,-519.0
50935.0,51025.0,1006400,-90.0
50622.0,50935.0,487800,-313.0
49457.0,50622.0,1377800,-1165.0
49178.0,49457.0,1637400,-279.0
49221.0,49178.0,1545600,43.0
49187.0,49221.0,1038800,-34.0
48873.0,49187.0,1331400,-314.0
51297.0,48873.0,1431200,2424.0
51918.0,51297.0,1885000,621.0
52072.0,51918.0,1547400,154.0
53155.0,52072.0,1232200,1083.0
53234.0,53155.0,1498200,79.0
53073.0,53234.0,1396200,-161.0
54249.0,53073.0,1360000,1176.0
54457.0,54249.0,2061200,208.0
54549.0,54457.0,1131800,92.0
54472.0,54549.0,1108600,-77.0
53735.0,54472.0,1304800,-737.0
54478.0,53735.0,1231600,743.0
54766.0,54478.0,1248200,288.0
55998.0,54766.0,1225200,1232.0
56038.0,55998.0,1256400,40.0
56384.0,56038.0,1512800,346.0
55755.0,56384.0,1241000,-629.0
56330.0,55755.0,1333400,575.0
56830.0,56330.0,1259200,500.0
55761.0,56830.0,1191200,-1069.0
56588.0,55761.0,1406600,827.0
57048.0,56588.0,1659800,460.0
56638.0,57048.0,1511400,-410.0
55218.0,56638.0,1496800,-1420.0
55749.0,55218.0,1402000,531.0
56156.0,55749.0,1129400,407.0
56831.0,56156.0,1279200,675.0
57729.0,56831.0,1070200,898.0
57775.0,57729.0,1240400,46.0
57421.0,57775.0,1428000,-354.0
57766.0,57421.0,1251200,345.0
57704.0,57766.0,1237600,-62.0
57701.0,57704.0,1345200,-3.0
56489.0,57701.0,1176200,-1212.0
55815.0,56489.0,1504200,-674.0
55386.0,55815.0,1443600,-429.0
55707.0,55386.0,1644400,321.0
56652.0,55707.0,1272200,945.0
56652.0,56652.0,1198000,0.0
57855.0,56652.0,0,1203.0
57910.0,57855.0,1375000,55.0
58536.0,57910.0,1357800,626.0
58366.0,58536.0,1401400,-170.0
58868.0,58366.0,1119800,502.0
59264.0,58868.0,990600,396.0
60411.0,59264.0,1128800,1147.0
60236.0,60411.0,1810800,-175.0
60703.0,60236.0,1594200,467.0
60928.0,60703.0,1290400,225.0
61493.0,60928.0,1358600,565.0
60496.0,61493.0,1587200,-997.0
60046.0,60496.0,1521000,-450.0
60356.0,60046.0,1312000,310.0
61317.0,60356.0,989800,961.0
61235.0,61317.0,955800,-82.0
61518.0,61235.0,1175400,283.0
60459.0,61518.0,1544800,-1059.0
61172.0,60459.0,1401200,713.0
62369.0,61172.0,1736000,1197.0
62671.0,62369.0,1335400,302.0
